platform,press,keyword,comment
news,연합뉴스,이재명,애초에 그럼 벌금형을 맞은 사안에 대해서만 말했어야죠..그 뒷부분은 경찰도 모르겠소한 부분인데 물론 전화번호 뒷자리는 혜경궁김씨떄처럼 우연찮게도 또 똑같지만요암튼 이건 선을 넘었다 생각함... 이와는 별개로 가족들 및 당사자 언행을 보세요 저게 대통령감이라고요? ㅋㅋㅋ 진짜 누구한테 투표하라고!!! 왜 국민들을 스트레스 받게 하는지?
news,연합뉴스,이재명,이준석 덕분에 이재명을 선택 안하게 해주셔서 감사합니다.
news,연합뉴스,이재명,"아 ~ ㅎ 역시, 더불어민주당은 가용 가능한 모든 수단을 총동원하는구나 ~ ㅎ 성폭행·성추행 피해자를 이순신 장군의 관노에 비유하는 무리들 답다 ~ ㅎ 본인은 찢고 싶어하고, 배우자는 긁고, 아들은 꼽고 싶어하고, 조카는 찌르고, 위기 의식을 느낄만큼의 팩트인데, 상상을 초월하긴 하지 ~ ㅎ 개 딸들 더이상 눈에 뵈는게 없으니 까 뒤집고 아무말이다 ~ ㅎ 안하무인 후안무치 적반하장 내로남불도 이정도면 그냥 세뇌당한 좀비 아니냐 ? ㅎ 이준석 후보는 이러한 위선에 대해 촌철살인을 날렸을 뿐이다 ~ ㅎ"
news,연합뉴스,이재명,"정말이지 저런것도 대통령 해보겠다고 설쳐대고 있으니 나라꼴이 개탄스럽다. 뭐가 문제인지도 모르고 왜 사람들이 열받는지도 모르고... 소시오패스도 저런 소시오패스가 없다... 사실도 아닌말을 사실인냥 계속 떠들고 ""왜 나한테 그래""라며 소리지르는게 유치원생도 요새는 안그러겠다.. 천박함이 하늘을 찌르고 나라망신을 아주 골고루 시킨다"
news,연합뉴스,이재명,펨코에 쩔어서 이런건 쉽게 보는듯 쯧
news,연합뉴스,이재명,펨코 애들 가세연발 뉴스를 믿고 있네..ㅋㅋㅋ 애초에 아이디가 다르더만...혹시 펨코애들 정신병자들이야?
news,연합뉴스,이재명,"이준석 욕할 필요 없다,,,,,,다 즈그 부모가 잘못 키운탓이다"
news,연합뉴스,이재명,부모가 망나니로 키웠나... 완전 몰상식 무개념이네.
news,연합뉴스,이재명,윤준석 ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
news,연합뉴스,이재명,본질
news,연합뉴스,이재명,이놈아니는아니다인성이개떡
news,연합뉴스,이재명,"김건희는 단순 의혹가지고 '줄리'라는 매춘부로 몰아가더니, 이재명 아들은 혐의 확정되서 벌금 받은 사건 언급해도 언급한 사람을 욕한다ㅋㅋㅋ 니네가 생각해도 이상하지 않냐??"
news,연합뉴스,이재명,남성에게하던 여성에게하던 뭔 상관임? 똑같은 성적발언아님?
news,연합뉴스,이재명,준석인 너무 정치를 잘 못 배운 양아치 그 자체다.
news,연합뉴스,이재명,사가지 없고 입에서는 오물냄새가 진동을 하는 괴물이 탄생했다. 박구네가 어린애 하나 데레다 정치판에 끼워넣더니 사람 다 버려놨네.
news,연합뉴스,이재명,니가 창작한거 맞는디유.. 원글은 남성에 대한 혐오적 표현이었는데 니가 원글을 봤다 했고 이걸 여성 신체를 대상으로 한 것으로 개조해서 전국민에게 공개하고 여성혐오로 규정했으니 니 창작이지. 니가 창작해서 퍼뜨려놓고는 왜 아직도 인정안함? 장난깜? 의원직 상실에 피선거권 날아가서 십년간 선거 못나가고 정치퇴출 기다리고 있구요 법원가서 판사 잘 구슬려보셈 하바드가 설대따위 나온 판사쯤이야 껌 아니겠음? ㅋㅋㅋ
news,연합뉴스,이재명,"죄명이 아들이 한 말인데.... 상습도박,성폭력특례법 음란죄로 벌금 500만원선고!!왜 이준석한테 난리야"
news,연합뉴스,이재명,비전도 정책도 없고 그저 시비나 딴지 깐죽 니 인성이 보인다 반박시 시끄러 임마
news,연합뉴스,이재명,ㅋㅋㅋㅋ 댓글 50대부대들 투명하네기사 내용은 보긴했나? 그 질낮은 이야기를 느그들 교주 이재명아들이해서 벌금500멱은거?
news,연합뉴스,이재명,이게 요새 젊은이다. 10 20 30대가 주로 보는 개인방송과 유투브에는 기모찌 NTR스럽다는 단어가 흔하다. 그것도 여자 개인방송에서.. 페티시란 성취향으로 당당하게 방송 내용을 만든다. 너희가 혐오하는 게이나 이상한 성취향을 가진 뵨태들이 어디서 확산되는지 모르겠냐? 공영방송에서 성기에 젓가락으로 어떻게 한다는것을 적라하게 설명해도 그게 문제가 될지 모른다.
news,연합뉴스,이재명,말은 가려서 하는거다 입에서 나오는 말 다하면? 그리고 말을 가려서할 줄 모르면 그게 ???
news,연합뉴스,이재명,그 질 낮은 질문을 들으니까 난 준스기한테 혐오감이 들긴 하더라 ㅋㅋ
news,연합뉴스,이재명,"성상납 피의자가 할 소리는 아닌듯, 준석아 넌 평상시 음담패설 즐기는 것으로 알고 있는데, 아니냐???"
news,연합뉴스,이재명,이걸 사죄하고 이재명에게 막말한다고 지적당하냐? 꼿꼿문수 반도 안된다. 그냥 사퇴해라.
