keyword,comment,nouns_adjs
이재명,행복했던 순간들이 아름답습니다 오늘흥보물받아보고 눈물이났습니다 힘차게 응원합니다,"['행복', '순간', '흥', '보물', '눈물', '힘차', '응원']"
이재명,지지하고 응원합니다,"['지지', '응원']"
이재명,늘 따뜻한 웃음 정말좋다,"['웃음', '좋']"
이재명,헌신과 눈물과 책임이 있으셨던 우리 부모님들의 그삶에 진심으로 존경을 표합니다 이재명후보님의 삶에 오롯이 녹아 전해진 그 마음으로 부디 승리하셔서 국민의 등불이 되어주세요,"['헌신', '눈물', '책임', '있', '부모', '삶', '진심', '존경', '표', '이재명', '후보', '삶', '마음', '승리', '국민', '등불']"
이재명,보는사람두 행복해져요 두분 존경합니다,"['사람', '행복', '분', '존경']"
이재명,미소가 찐으로 보여요 후보님 대선에서 꼭 승리입니다,"['미소', '후보', '대선', '승리']"
이재명,지금까지살아오신삶을존경합니다 국민이존경하는대통령이되어주세요,"['지금', '삶', '존경', '국민', '존경', '대통령']"
이재명,사진 올려주셔서 감사합니다,"['사진', '감사']"
이재명,눈을 크게뜨고,"['눈', '크']"
이재명,눈물이납니다,['눈물']
이재명,응원합니다,['응원']
이재명,청래 왜 화남,['청래']
이재명,아저씨 옛날에 미국대사관에 방화한적있어요 물어보면,"['아저씨', '옛날', '미국', '대사관', '방화', '적', '있']"
이재명,친절하셨나요,['친절']
이재명,청래님 웃는짤 구하기 너무힘듬 차도남 컨셉인 암튼 그럼 여튼 그럼,"['청래', '님', '짤', '너무힘듬', '차', '남', '컨셉']"
이재명,청래 표정 왜저러노,"['청래', '표정']"
이재명,머리 내리니까 트랭크스 닮았네,"['머리', '트랭크스']"
이재명,바른 생각 게이야,"['바르', '생각', '게']"
이재명,경호원 아저씨 듬직하누,"['경호원', '아저씨']"
이재명,신발끈 묶는 포즈로 나중에 찍어주십사,"['신발', '끈', '포즈', '나중']"
이재명,정품 머리 어디갔노,"['정품', '머리']"
이재명,축하해요 담엔 윤석열 옆에,"['축하', '담', '윤석열', '옆']"
이재명,썬구리쓰고 경호원이라 해도 되겠어요,"['구리', '경호원']"
이재명,폐기물 사진을 왜찍지,"['폐기물', '사진']"
이재명,표정 안푸나,['표정']
이재명,대한민국에서 대놓고 부정선거가 벌어지고 있습니다 우리의 주권이 찬탈당할 위기에 놓여 있습니다 제 페이지에 오시면 확실한 부정선거의 증거들이 있습니다 제발 관심을 가져 주세요,"['대한민국', '부정', '선거', '주권', '찬탈', '위기', '페이지', '부정', '선거', '증거', '있', '관심']"
이재명,해당 사진들을 합성 조작이라고 하네요 2005 2006년 당시 민간인 신분으로 방북한 사진입니다 본인들도 믿기 힘든 현실일까요,"['해당', '사진', '합성', '조작', '년', '당시', '민간인', '신분', '방북', '사진', '본인', '힘들', '현실']"
이재명,잘 했 네 요 전과4범,"['전과', '범']"
이재명,어찌 저런인간을 추종할수 있을까,"['인간', '추종', '수', '있']"
이재명,하 이런거 올리고 추종하는 것들은 집안에서 뭘 배우고 자랐길래 이모양이야,"['거', '추종', '것', '집안', '모양']"
이재명,종북주의자 사회주의가 맞네요 찢,"['종북', '주의자', '사회주의']"
이재명,오늘밤,"['오늘', '밤']"
이재명,존경합니다 이재명대통령님,"['존경', '이재명', '대통령']"
이재명,이재명 대통령님 이 사람 감옥 보내세요 북한 사진올리고있네요,"['이재명', '대통령', '사람', '감옥', '북한', '사진']"
이재명,수준 웃음벨,"['수준', '웃음', '벨']"
이재명,존나 어울린다 사회주의 공사드러운 자세와 표정 복장까지,"['사회주의', '공사', '자세', '표정', '복장']"
이재명,나는 빨갱이 입니다 대놓고 인증하는 찢죄명 어린이,"['빨갱이', '인증', '찢죄명', '어린이']"
이재명,고향왔노,['고향']
이재명,근데 어케 간거임,['거']
이재명,習近平主席您好 안녕하십니까 김정은 동지,"['안녕', '김정은', '동지']"
이재명,역시 찢죄명이는 배경이 저쪽이 훨씬 어울리네,"['찢죄명이', '배경']"
