platform,press,keyword,comment,tokens,score
news,기타,김문수,당신 부인이 개그프로에 나와서 다른 후보자 부인 비웃은거나 먼저 생각해. 미친건가.,"['부인', '개그', '프로', '나오', '후보자', '부인', '비웃', '생각', '미치']",0
news,기타,김문수,기자님 광운이 꼬봉. 탬버린의 그녀서방 윤머저리 꼬봉이. 지사시절. 뭐 땜에 헬기를 그리 많이 탓을까요???,"['기자', '광운', '꼬봉', '탬버린', '서방', '윤', '머저리', '꼬봉이', '지사', '시절', '헬기', '타']",-2
news,기타,김문수,ㅋㅋㅋ 김문수 웃기네!!! 잠깐 나와 설쳐도 온갖 말 다나오는데 쯧쯯 문수씨 마누라 못 생겼어요,"['김문수', '웃기', '나오', '설치', '나오', '쯧쯯', '문수', '씨', '마누라', '생기']",0
news,기타,김문수,전광훈이한테 헌금은 얼마나 했는지 말해봐라..그래서 그러고 사는구나.,"['전광훈', '헌금', '그러', '사']",0
news,기타,김문수,제가 노조할 사람으로 보이세요? 저는 부드러운 문학소녀.... 라고 말했는데 노조하는 사람이였고요 상대 후보 와이프한테 법카 쓰지마세요 라고 대놓고 말하고 방탄유리 보고도 그냥 못 넘어가고 한마디 던지던데 이상한 사람 맞아요. 쌈닭이에요? 남편 소방헬기 전용기 처럼 162번 쓴 것에 대해서는 한마디도 안 하던데? 앞으로는 소방헬기 쓰지마세요 알겠어요? 그거 생명 왔다갔다 하는 환자가 쓰는겁니다.,"['노조', '보이', '부드럽', '문학소녀', '라', '노조', '상대', '후보', '와이프', '법카', '쓰', '방탄유리', '넘어가', '한마디', '던지', '이상', '맞', '쌈', '닭', '남편', '소방', '헬기', '전용기', '쓰', '한마디', '앞', '소방', '헬기', '쓰', '알', '생명', '환자', '쓰']",-1
news,기타,김문수,설난영이 김혜경을 비방하고 공격하는 모습이 너무 괴이해 보이죠. 2찍들은 사람 자체가 이상한 거 같아요. 후보자 부인이 후보자인 것도 아니고...노조할 사람들 원색적으로 비하하고 느닷없이 자기를 아주 지성적이고 예쁘기까지 하다고 인정할 수 없는 주장에 깜짝 놀라게 한게 설난영입니다.,"['나', '영', '김혜경', '비방', '공격', '모습', '보이', '듣', '자체', '이상', '후보자', '부인', '후보자', '노조', '원색', '비하', '지성', '예쁘', '인정', '주장', '놀라', '설난영']",0
news,기타,김문수,유시민이 한 말의 전체 맥락을 봐라. 틀린말한거 하나없다.,"['유시민', '전체', '맥락', '틀리']",0
news,기타,김문수,"나한테 좋은 사람이라고 해서 남한테도 좋은 사람인 건 아니죠 ■ 아내되시는 분이 광장에서 방송에서 지속적으로 남의 아내 대놓고 공격한 거에 대해서는 어떻게 생각하시나요? 노조하는 사람 외모 비하한 거는요? ■ 심판이요? 군대를 동원해서 국민에게 탱크와 총칼을 들이대고, 맘에 안드는 사람 처단하고 자유를 제한하겠다는 포고령을 내린 사람을 마지막까지 꼿꼿하게 옹호한 당신과, 먼저 문제를 일으켜놓고 사과 한마디 없이 숨어버린 당신 아내부터 먼저 심판받아야 순서가 아닐까요?","['좋', '남', '좋', '아내', '광장', '방송', '지속', '남', '아내', '공격', '어떻', '생각', '노조', '외모', '비하', '심판', '군대', '동원', '국민', '탱크', '총칼', '들이대', '맘', '들', '처단', '자유', '제한', '포고령', '내리', '마지막', '옹호', '문제', '일으키', '사과', '마디', '숨', '아내', '심판', '받', '순서']",0
news,기타,김문수,"유시민이 아주 적절하고 정확하게 표현햇네. 20,000% 공감!!!!!!!!!","['유시민', '정확', '표현', '공감']",0
news,기타,김문수,노조하는 사람들의 저질스런 외모비하한게 누구시더라.자신을 부정하는 꼴이라니.,"['노조', '저질', '외모', '비하', '자신', '부정', '꼴']",-1
news,기타,김문수,유작가가 맞는말 했구만 뭘 ...,"['유', '작가', '맞']",0
news,기타,김문수,공개석상에서 후보도아닌 후보배우자가 상대후보배우자를 까내리고 노조는 못생겼다니 그런언행을하는 사람이 훌륭하다고?? 이집은 국어를 발로배웠나 사이비한테 빠지면 이렇게 이상해진다,"['공개', '석상', '후보', '후보', '배우자', '상대', '후보', '배우자', '까', '내리', '노조', '못생기', '언행', '집', '국어', '발', '배우', '사이비', '빠지', '이상']",0
news,기타,김문수,말 앞 뒤 짜르고 이야기 하지말고 유시민 작가가 본래 알던 지인이고 노동운동 시절에 옥뒤바라지 까지 같이 하던 지인인데 의원되고 사람이 달라져서 인연이 끊어지고 도지사에 대통령 후보 영부인 자리까지 올라오니 자기 자신은 안보고 상대방 후보 부인에게 막말을 해서 사람이 이상해졌다.이게 결론인데 먼 노동자가 나오고 여자 노인 비하가 나오냐. 그렇게 따지면 가세연 렉카 극우유튜브 애들한테는 왜 말한마디 안하냐. 그냥 뭐하나 나오면 팩트도 없이 물어뜯네,"['앞', '뒤', '짜르', '이야기', '유시민', '작가', '알', '지인', '노동운동', '시절', '옥', '뒤', '바라지', '지인', '의원', '달라지', '인연', '끊어지', '도지사', '대통령', '후보', '영부인', '자리', '오르', '오', '자신', '상대방', '후보', '부인', '막말', '이상', '결론', '멀', '노동자', '나오', '여자', '노인', '비하', '나오', '따지', '가세', '연', '렉카', '극우', '유튜브', '애', '한마디', '나오', '팩트', '물어뜯']",0
news,기타,김문수,설씨도 사과하심이 개그프로지만 비방을 하시는 건. 나는 되고 제는 안되 심뽀가,"['설', '사과', '개그', '프로', '비방', '안되', '심뽀가']",-1
