platform,press,keyword,comment
news,한국경제,이재명,"주 진우...이 자가 정치검찰의 자료를 받아 검찰과 짜고 이 후보의 가족까지 샅샅이 먼지털어 흠집을 내는구나.,때려 x여도 시원찮은 놈...털어도 털어도 먼지가 안 나니 가족들까지 동원을 먼지털어 소문을 사실인양 침소봉대하여 흠집을?비열한 집단..국힘당 쓰레기들..."
news,한국경제,이재명,오늘도 어김없이 댓글부대 가동
news,한국경제,이재명,아니. 세상에. 아버지. 엄마. 아들 가족이 전부 문제있네. 나참 살다살다 이런가족첨보네요 국민여러분 제대로 눈좀크게뜨세요
news,한국경제,이재명,정책도 없고 남의 허물만 들춰내는게 나라를 이끌사람의 기본 덕목입니까
news,한국경제,이재명,규모가 2억 3000만원이면 실제로는 2~3백만원 정도 가지고 도박했구만
news,한국경제,이재명,"▶ 이재명 (전과 4범 + 선거법 2심 유죄), ▶김혜경 (법카 2심 유죄 150만원), ▶아들 (상습도박, 성희롱 벌금 500만원), ▶조카 (암사동 모녀 살인사건, 모녀 37회 찔러 즉사) ..//// 무슨 어벤져스 영화 찍냐 ? 참 멋진 집구석이다. 전세계인한테 개망신 당하는중. 대한민국 국격 😆😆😅😅🤣"
news,한국경제,이재명,대한민국이 븍한도 아니고 수령이 탄생하냐?가족 금지법 쇼을 하는 구나?민주당욕하면 구속 시키지?
news,한국경제,이재명,이사람 윤석열탄핵 반대외치던분? ㅋㅋㅋ뭘해도 국민이 믿겟냐
news,한국경제,이재명,제발 철저히 조사바랍니다!
news,한국경제,이재명,험담금지법이라니 ㅉㅉ 이게 쌍팔녀도도 아니고
news,한국경제,이재명,이나라는 국민의힘이 없어져야 나라가 바로서고 국민이 행복합니다
news,한국경제,이재명,주진우.. 쯧
news,한국경제,이재명,국민의힘=국민피빠는 뱀파이어무리
news,한국경제,이재명,리씨 일당 더러운 하잖은 것들 아닐까 지켜보면 온 세상 시끄럽게 할것 같이 보이지 않아요나중에 후회 할짓들 하지 말고 선택 잘해야 나라 미래 있지 않을까
news,한국경제,이재명,리박스쿨? 뉴스타파가 폭로한 '자손군(댓글로 나라 구하는 자유손가락 군대)'은 극우 교육단체 '리박스쿨(이승만+박정희 추앙)'이 운영하는 '조직적 댓글공작팀'입니다. 소름돋는다... 몇년전일도 아니고 지금 현재진행중이네ㄷㄷㄷㄷ
news,한국경제,이재명,또 주진우인가.....윤석열 꼬봉
news,한국경제,이재명,내란당은 내란동조 수사나 받길
news,한국경제,이재명,6월3일빨리 징글징글 하다
news,한국경제,이재명,계속 밀어 붙혀요 ㅡ 거짓맛 장난질 하는 자 계속 캐고 또 캐서 국민듪케 하나라도 더 알려주시오 ㅡㅡ빨리요결국 국민은 거짓말을 반드시 심판합니다 ㅡ승리 승리 승리
news,한국경제,이재명,윤석열 부인 김건희 그렇게 특검해댔으니 똑같이 특검해야겠지???
news,한국경제,이재명,"민주당 ""이재명 가족 험담 금지법 발의""축하합니다~"
news,한국경제,이재명,계속 가족 건드네.일본놈보다 더 악독하네
news,한국경제,이재명,입출금 와리가리가 700번이 넘는다던데 그럼30만원아닌가?
